scenario,algorithm,artifact_path,artifact_role,route_mode,route_source,inference_threshold,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,median_execution_time,N_pairs,tp,fp,fn,tn,precision,recall,f1,runs
graph_SOR2_D1_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.933333,0.666667,27288.256778,38203.559489,0.000366,0.000366,15,2,1,0,12,0.666667,1.0,0.8,10
graph_SOR2_D1_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.866667,0.333333,15463.908811,40206.162908,0.000323,0.000323,15,1,1,1,12,0.5,0.5,0.5,10
graph_SOR2_D1_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.8,0.25,4333.486502,13867.156806,0.000865,0.000865,15,1,2,1,11,0.333333,0.5,0.4,10
graph_SOR2_D1_seed42,GNN GenAI SPEC v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/GNN_tpcds_genai_spec_graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.3,0.8,0.25,4797.316717,15351.413494,0.000782,0.000782,15,1,2,1,11,0.333333,0.5,0.4,10
graph_SOR2_D1_seed42,GNN GenAI SPEC Protocol rank 1,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank1_weighted_bce_lr0p005_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank1_graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.933333,0.5,9172.909042,17122.763545,0.000818,0.000818,15,1,0,1,13,1.0,0.5,0.666667,10
graph_SOR2_D1_seed42,GNN GenAI SPEC Protocol rank 2,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank2_weighted_bce_lr0p001_h16_d0p0_t0p4/GNN_tpcds_genai_spec_protocol_rank2_graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.8,0.25,4674.9592,14959.869439,0.000802,0.000802,15,1,2,1,11,0.333333,0.5,0.4,10
graph_SOR2_D1_seed42,GNN GenAI SPEC Protocol rank 3,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank3_weighted_bce_lr0p005_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank3_graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.8,0.25,4562.504499,14600.014398,0.000822,0.000822,15,1,2,1,11,0.333333,0.5,0.4,10
graph_SOR2_D1_seed42,GNN GenAI SPEC Protocol rank 4,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank4_weighted_bce_lr0p001_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank4_graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.8,0.25,4412.953643,14121.451657,0.00085,0.00085,15,1,2,1,11,0.333333,0.5,0.4,10
graph_SOR2_D1_seed42,GNN GenAI SPEC Protocol rank 5,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank5_weighted_bce_lr0p001_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank5_graph_SOR2_D1_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.933333,0.5,8352.083675,15590.556193,0.000898,0.000898,15,1,0,1,13,1.0,0.5,0.666667,10
graph_SOR2_D2_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.742424,0.15,4781.982643,23668.398938,0.00207,0.00207,66,3,16,1,46,0.157895,0.75,0.26087,10
graph_SOR2_D2_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.80303,0.1875,6790.121524,29080.924507,0.001823,0.001823,66,3,12,1,50,0.2,0.75,0.315789,10
graph_SOR2_D2_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.939394,0.0,0.0,33529.753134,0.001849,0.001849,66,0,0,4,62,0.0,0.0,0.0,10
graph_SOR2_D2_seed42,GNN GenAI SPEC v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/GNN_tpcds_genai_spec_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.3,0.909091,0.25,9518.886633,34614.133209,0.001733,0.001733,66,2,4,2,58,0.333333,0.5,0.4,10
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 1,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank1_weighted_bce_lr0p005_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank1_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.939394,0.0,0.0,34358.147918,0.001805,0.001805,66,0,0,4,62,0.0,0.0,0.0,10
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 2,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank2_weighted_bce_lr0p001_h16_d0p0_t0p4/GNN_tpcds_genai_spec_protocol_rank2_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.909091,0.25,7936.7466,28860.896727,0.002079,0.002079,66,2,4,2,58,0.333333,0.5,0.4,10
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 3,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank3_weighted_bce_lr0p005_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank3_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.909091,0.25,8716.226507,31695.369117,0.001893,0.001893,66,2,4,2,58,0.333333,0.5,0.4,10
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 4,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank4_weighted_bce_lr0p001_h16_d0p1_t0p4/GNN_tpcds_genai_spec_protocol_rank4_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.4,0.909091,0.25,9373.889596,34086.871259,0.00176,0.00176,66,2,4,2,58,0.333333,0.5,0.4,10
graph_SOR2_D2_seed42,GNN GenAI SPEC Protocol rank 5,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/models/rank5_weighted_bce_lr0p001_h16_d0p1_t0p5/GNN_tpcds_genai_spec_protocol_rank5_graph_SOR2_D2_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.909091,0.25,9444.424477,34343.361736,0.001747,0.001747,66,2,4,2,58,0.333333,0.5,0.4,10
graph_SOR2_D3_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.771242,0.166667,6153.50614,28475.048023,0.004144,0.004144,153,7,33,2,111,0.175,0.777778,0.285714,10
graph_SOR2_D3_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.0,0.771242,0.166667,5806.149088,26867.670292,0.004392,0.004392,153,7,33,2,111,0.175,0.777778,0.285714,10
graph_SOR2_D3_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.5,0.941176,0.0,0.0,24018.514204,0.005995,0.005995,153,0,0,9,144,0.0,0.0,0.0,10
graph_SOR2_D3_seed42,GNN GenAI SPEC v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/models/GNN_tpcds_genai_spec_graph_SOR2_D3_seed42.pkl,scenario_specific_pickle,scenario_specific,explicit scenario pickle map,0.3,0.843137,0.111111,2579.201396,19571.587065,0.006591,0.006591,153,3,18,6,126,0.142857,0.333333,0.2,10
